library_name,# reactions,# targets,# molecular SMILES,# solids,# liquids,# starting materials,# operations,# type OperationType.ConcentrationAndPurification,# type OperationType.Heating,# type OperationType.MakeSolution,# type OperationType.TransferLiquid
VS-01-01,6,1,24,14,15,18,38,6,6,9,17
VS-01-02,7,1,20,14,13,13,36,7,7,8,14
VS-01-03,7,1,24,14,17,17,40,7,7,9,17
VS-01-04,9,1,29,24,21,20,61,9,9,15,28
VS-01-05,7,1,19,18,12,12,42,7,7,11,17
VS-01-06,7,1,19,18,12,12,42,7,7,11,17
VS-01-07,12,1,32,32,26,20,79,12,12,21,34
VS-01-08,6,1,23,14,14,17,37,6,6,9,16
VS-01-09,10,1,28,17,25,18,55,10,10,10,25
VS-01-10,3,1,13,7,8,10,20,3,3,4,10
VS-02-01,14,2,42,35,30,28,88,14,14,22,38
VS-02-02,14,2,43,29,32,29,80,14,14,17,35
VS-02-03,18,2,48,36,44,30,107,18,18,23,48
VS-02-04,18,2,47,44,42,29,116,18,18,28,52
VS-02-05,11,2,36,20,29,25,63,11,11,12,29
VS-02-06,15,2,42,35,32,27,90,15,15,21,39
VS-02-07,16,2,48,34,37,32,93,16,16,21,40
VS-02-08,17,2,44,38,40,27,104,17,17,24,46
VS-02-09,13,2,45,28,40,32,88,13,13,18,44
VS-02-10,13,2,43,33,27,30,80,13,13,20,34
VS-03-01,22,3,65,60,50,43,151,22,22,39,68
VS-03-02,20,3,58,37,55,38,121,20,20,24,57
VS-03-03,20,3,56,43,49,36,122,20,20,26,56
VS-03-04,19,3,61,43,52,42,125,19,19,27,60
VS-03-05,28,3,71,62,59,43,159,28,28,36,67
VS-03-06,17,3,47,36,40,30,102,17,17,22,46
VS-03-07,16,3,51,35,39,35,97,16,16,22,43
VS-03-08,26,3,72,60,58,46,159,26,26,39,68
VS-03-09,19,3,52,39,44,33,110,19,19,23,49
VS-03-10,13,3,45,22,40,32,80,13,13,14,40
VS-04-01,29,4,76,49,79,47,165,29,29,30,77
VS-04-02,22,4,58,49,50,36,132,22,22,30,58
VS-04-03,29,4,74,72,56,45,177,29,29,45,74
VS-04-04,31,4,79,79,67,48,199,31,31,50,87
VS-04-05,25,4,69,69,58,44,175,25,25,45,80
VS-04-06,22,4,65,52,58,43,145,22,22,33,68
VS-04-07,29,4,75,59,73,46,175,29,29,38,79
VS-04-08,19,4,62,42,53,43,124,19,19,28,58
VS-04-09,29,4,76,69,76,47,193,29,29,45,90
VS-04-10,34,4,85,78,74,51,200,34,34,46,86
VS-05-01,40,5,99,94,93,59,247,40,40,57,110
VS-05-02,35,5,91,84,81,56,225,35,35,55,100
VS-05-03,34,5,91,78,77,57,209,34,34,49,92
VS-05-04,31,5,87,66,77,56,189,31,31,41,86
VS-05-05,37,5,93,92,83,56,238,37,37,59,105
VS-05-06,34,5,92,68,81,58,196,34,34,40,88
VS-05-07,47,5,104,111,98,57,279,47,47,68,117
VS-05-08,36,5,94,92,78,58,235,36,36,59,104
VS-05-09,33,5,91,78,74,58,205,33,33,49,90
VS-05-10,35,5,91,75,85,56,212,35,35,49,93
VS-06-01,50,6,123,113,107,73,294,50,50,69,125
VS-06-02,42,6,106,86,100,64,246,42,42,53,109
VS-06-03,37,6,98,81,87,61,222,37,37,49,99
VS-06-04,44,6,110,108,105,66,286,44,44,69,129
VS-06-05,35,6,88,75,89,53,214,35,35,46,98
VS-06-06,46,6,112,112,109,66,296,46,46,71,133
VS-06-07,34,6,91,82,81,57,220,34,34,53,99
VS-06-08,35,6,91,86,74,56,218,35,35,53,95
VS-06-09,35,6,91,80,87,56,220,35,35,50,100
VS-06-10,42,6,102,101,96,60,269,42,42,66,119
VS-07-01,49,7,123,113,116,74,304,49,49,70,136
VS-07-02,43,7,109,97,106,66,269,43,43,61,122
VS-07-03,56,7,126,123,127,70,335,56,56,76,147
VS-07-04,47,7,105,96,111,58,276,47,47,58,124
VS-07-05,39,7,99,92,100,60,256,39,39,59,119
VS-07-06,42,7,113,95,101,71,259,42,42,58,117
VS-07-07,39,7,98,88,89,59,239,39,39,54,107
VS-07-08,57,7,133,137,127,76,358,57,57,88,156
VS-07-09,47,7,111,110,108,64,292,47,47,70,128
VS-07-10,39,7,103,87,108,64,256,39,39,55,123
VS-08-01,43,8,108,99,106,65,276,43,43,62,128
VS-08-02,61,8,144,147,137,83,388,61,61,94,172
VS-08-03,56,8,128,134,118,72,339,56,56,82,145
VS-08-04,60,8,127,137,137,67,365,60,60,84,161
VS-08-05,59,8,139,129,143,80,362,59,59,81,163
VS-08-06,54,8,126,116,127,72,323,54,54,71,144
VS-08-07,52,8,123,125,113,71,319,52,52,77,138
VS-08-08,51,8,124,125,125,73,339,51,51,81,156
VS-08-09,41,8,100,96,102,59,264,41,41,61,121
VS-08-10,49,8,131,110,119,82,301,49,49,69,134
VS-09-01,56,9,135,121,132,79,335,56,56,71,152
VS-09-02,63,9,148,143,151,85,392,63,63,87,179
VS-09-03,54,9,133,135,129,79,358,54,54,88,162
VS-09-04,61,9,136,134,140,75,364,61,61,81,161
VS-09-05,51,9,124,109,129,73,313,51,51,66,145
VS-09-06,63,9,139,155,143,76,402,63,63,97,179
VS-09-07,60,9,141,139,139,81,371,60,60,85,166
VS-09-08,53,9,129,119,136,76,338,53,53,73,159
VS-09-09,53,9,132,117,129,79,325,53,53,72,147
VS-09-10,56,9,132,127,137,76,351,56,56,80,159
